,Name,Global_Sales,Critic_Score
249,LEGO Marvel Super Heroes,0.9,61
250,MLB 16: The Show,0.89,85
251,Far Cry: Primal,0.88,77
252,Resident Evil: Revelations,0.88,82
253,Borderlands: The Handsome Collection,0.88,82
254,Monster Strike 3DS,0.87,79
255,Dragon Quest VIII: Journey of the Cursed King,0.86,85
256,Guitar Hero Live,0.86,80
257,Wii Fit U,0.85,72
258,Xenoblade Chronicles X,0.84,84
259,Tales of the Abyss,0.83,75
260,Thief (2014),0.82,67
261,Madden NFL 25,0.81,73
262,Professor Layton vs Phoenix Wright: Ace Attorney,0.8,79
263,Dragon Quest Monsters 2,0.79,77
264,Pro Evolution Soccer 2016,0.79,87
265,Rare Replay,0.79,84
266,Mario & Sonic at the Sochi 2014 Olympic Winter Games,0.78,55
267,Bayonetta 2,0.76,91
268,Doom (2016),0.76,85
269,The Sims 3,0.76,52
270,Portal 2,0.76,95
271,Mario & Luigi: Paper Jam,0.76,76
272,Professor Layton and the Azran Legacy,0.75,81
273,Nintendo Presents: New Style Boutique 2 - Fashion Forward,0.75,78
274,Titanfall 2,0.75,89
275,Metal Gear Solid V: The Phantom Pain,0.75,95
276,LEGO Batman 2: DC Super Heroes,0.75,72
277,Pro Evolution Soccer 2015,0.75,82
278,Final Fantasy XIV: A Realm Reborn,0.75,86
279,Rhythm Heaven: The Best+,0.74,83
280,Assassin's Creed: Revelations,0.74,80
281,Final Fantasy X/X-2 HD Remaster,0.74,85
282,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,0.74,77
283,The Elder Scrolls V: Skyrim,0.74,82
284,Crysis 2,0.74,86
285,LEGO Marvel Super Heroes,0.74,82
286,Dragon Age: Inquisition,0.73,85
287,Style Savvy: Trendsetters,0.73,76
288,LEGO Marvel's Avengers,0.73,71
289,Just Dance 2015,0.73,75
290,LEGO Dimensions,0.73,80
291,Total War: Rome II,0.72,76
292,Persona Q: Shadow of the Labyrinth,0.72,83
293,The Witcher 3: Wild Hunt,0.72,93
294,Battlefield: Bad Company 2,0.72,87
295,XCOM: Enemy Unknown,0.71,89
296,Skylanders: Trap Team,0.7,86
297,Call of Duty: Ghosts,0.7,68
298,Monster Hunter Tri,0.69,84
299,The LEGO Movie Videogame,0.69,71
300,Need for Speed (2015),0.69,66
301,Plants vs. Zombies: Garden Warfare,0.69,76
302,Need for Speed Rivals,0.69,75
303,The Sims: Medieval,0.69,77
304,Minecraft,0.68,77
305,Wolfenstein: The New Order,0.68,79
306,RIFT,0.67,84
307,The Evil Within,0.67,79
308,The Sims 3: High-End Loft Stuff,0.66,63
309,Diablo III,0.66,88
310,Napoleon: Total War,0.66,81
311,Rayman Legends,0.66,92
312,BioShock Infinite,0.66,94
313,LEGO Jurassic World,0.65,70
314,Rocksmith 2014,0.65,89
315,Disney Infinity 2.0: Marvel Super Heroes,0.65,74
316,Farming Simulator 17,0.65,64
317,Assassin's Creed IV: Black Flag,0.64,84
318,The LEGO Movie Videogame,0.64,68
319,Rayman 3D,0.64,61
320,Football Manager 2014,0.64,85
321,The Crew,0.64,64
322,Evolve,0.64,74
323,Dragon Quest Monsters Joker 3,0.63,77
324,Dragon Age II,0.63,82
325,Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,0.63,70
326,Far Cry 4,0.63,80
327,The Sims 3: Generations,0.63,70
328,Angry Birds Trilogy,0.63,62
329,Crysis 3,0.63,76
330,LEGO Jurassic World,0.62,70
331,LEGO Pirates of the Caribbean: The Video Game,0.62,71
332,Mafia III,0.62,67
333,Toshochu: Run for Money,0.62,37
334,Cooking Mama 4: Kitchen Magic!,0.61,56
335,Scribblenauts: Unlimited,0.61,73
336,Tomb Raider (2013),0.61,86
337,Kinect Sports Rivals,0.6,60
338,Disney Infinity,0.6,71
339, Frozen: Olaf's Quest,0.6,52
340,Just Dance 2014,0.6,72
341,Total War: Shogun 2,0.6,90
342,WWE 2K16,0.59,72
343,Assassin's Creed: Brotherhood,0.59,88
344,Deus Ex: Human Revolution,0.58,90
345,Skylanders SWAP Force,0.58,89
346,Shin Megami Tensei IV,0.58,83
347,Skylanders: Spyro's Adventure,0.57,82
348,Titanfall 2,0.57,87
349,WWE 2K15,0.57,56
350,Just Dance 2016,0.57,73
351,Rune Factory 4,0.57,78
352,Xenoblade Chronicles,0.56,86
353,Titanfall,0.56,86
354,Minecraft: Story Mode,0.56,77
355,Yokai Sangokushi,0.56,76
356,Quantum Break,0.56,77
357,Guitar Hero Live,0.55,81
358,Assassin's Creed: Unity,0.55,70
359,Assassin's Creed II,0.55,86
360,Star Wars Battlefront (2015),0.55,73
361,Final Fantasy Explorers,0.54,69
362,Inazuma Eleven GO,0.53,75
363,LEGO Dimensions,0.53,62
364,Just Dance 2015,0.53,70
365,The LEGO Movie Videogame,0.53,69
366,Overwatch,0.53,91
367,Mario & Sonic at the Rio 2016 Olympic Games,0.53,60
368,StarCraft II: Legacy of the Void,0.53,88
369,Batman: Arkham City,0.53,91
370,LEGO Jurassic World,0.52,71
371,Kirby and the Rainbow Curse,0.52,73
372,Sonic & All-Stars Racing Transformed,0.51,78
373,Alien: Isolation,0.51,78
374,Dishonored,0.51,91
375,Theatrhythm: Final Fantasy,0.5,78
376,Ridge Racer 3D,0.49,75
377,Super Monkey Ball 3D,0.49,55
378,Sonic Lost World,0.49,59
379,Resident Evil: The Mercenaries 3D,0.49,65
380,Epic Mickey: Power of Illusion,0.49,63
381,Pokemon Art Academy ,0.49,76
382,Medal of Honor,0.49,72
383,Asphalt 3D,0.49,43
384,Steel Diver,0.49,58
385,Bravely Second: End Layer,0.49,81
386,Puzzle & Dragons Z + Super Mario Bros. Edition,0.48,73
387,Mad Max (2015),0.48,72
388,Skylanders: SuperChargers,0.48,87
389,Plants vs. Zombies: Garden Warfare 2,0.48,80
390,NHL 16,0.48,80
391,Rock Band 4,0.47,79
392,World of Warcraft: Warlords of Draenor,0.47,87
393,FIFA Soccer 13,0.47,69
394,FIFA 12,0.47,89
395,EA Sports UFC,0.47,70
396,Football Manager 2015,0.46,80
397,The Sims 3: Ambitions,0.46,74
398,Thief (2014),0.46,67
399,Disney Infinity 3.0,0.46,80
400,The Sims 3: Outdoor Living Stuff,0.46,53
401,Just Dance 2014,0.45,71
402,Lego Batman 3: Beyond Gotham,0.45,70
403,Wolfenstein: The New Order,0.45,81
404,Watch Dogs,0.45,77
405,Mario Tennis Ultra Smash,0.44,58
406,Disney Infinity 2.0: Marvel Super Heroes,0.44,74
407,Borderlands: The Handsome Collection,0.43,80
408,Lego Batman 3: Beyond Gotham,0.43,74
409,Max Payne 3,0.43,87
410,Paper Mario: Color Splash,0.42,75
411,Animal Crossing: Amiibo Festival,0.41,46
